I1,YS
Slope,13.7
McIntosh,16.8
GoldenValley,14.1
Burleigh,15.6
Bottineau,17.1
Burke,15.5
Bowman,14.3
Towner,15.3
Foster,17.4
Grant,15.4
Pembina,16.9
Oliver,16.1
Griggs,19
Divide,13.8
Ramsey,17.5
Stark,15.1
Dickey,19.9
Cass,19.5
Wells,15.8
Steele,17.3
Sargent,19
Sioux,13.1
Walsh,17
GrandForks,18.1
Adams,14.3
Traill,19.2
Stutsman,17.1
Nelson,16.6
LaMoure,17.1
Cavalier,16.7
Emmons,15
Ransom,18.7
Mortonne,15.8
Dunn,15.1
Sheridan,16.2
Billings,13.7
Benson,15.2
Ward,17.1
Renville,16.2
Hettinger,14.3
Logan,17.5
Eddy,16.6
Rolette,17.2
Pierce,16.9
Mountrail,18.2
Mercer,14.8
Kidder,17.3
McHenry,15.3
Barnes,17.5
Richland,20.2
McLean,16.4
McKenzie,13.3
Williams,13.1
